ano,Preco_Petroleo_Brent_FOB
2000,28.66067193675889
2001,24.455719844357976
2002,25.24413173652695
2003,28.853508287292815
2004,38.162
2005,54.325879120879115
2006,65.11695054945055
2007,72.03027855153204
2008,97.53179063360882
2009,61.31418732782369
2010,79.44722527472528
2011,111.28555248618785
2012,111.70688022284122
2013,108.57369747899159
2014,99.41063711911357
2015,52.54301369863014
2016,43.506229508196725
2017,54.16369146005509
2018,71.28987261146497
2019,64.1367803030303
2020,41.71081712062257
2021,70.85267716535434
2022,100.881875
2023,82.35553784860558
2024,84.49906246185303
